,epoch,h_s,seq_len,NSE test,NSE val,perfomance loss
cudalstm_q_mm_day_256_270_mswep_static_1505_112923,30.0,256.0,270.0,0.653134673833847,0.7195,9.223811836852395
cudalstm_q_mm_day_128_270_mswep_static_1605_083633,22.0,128.0,270.0,0.645199328660965,0.70293,8.212862068632024
cudalstm_q_mm_day_mswep,24.0,256.0,365.0,0.6413603127002716,0.70787,9.395748838025117
cudalstm_q_mm_day_128_mswep_static_1405_112752,24.0,128.0,365.0,0.630439817905426,0.69914,9.826384142600046
cudalstm_q_mm_day_256_180_mswep_static_1505_143924,23.0,256.0,180.0,0.627072274684906,0.69995,10.411847319821982
cudalstm_q_mm_day_128_180_mswep_static_1605_105712,15.0,128.0,180.0,0.6146147549152374,0.70412,12.711646464347348
cudalstm_q_mm_day_256_90_mswep_static_1505_174154,25.0,256.0,90.0,0.611303448677063,0.6756,9.516955494810093
cudalstm_q_mm_day_64_270_mswep_static_1605_232505,13.0,64.0,270.0,0.6078495979309082,0.68954,11.847086763507821
cudalstm_q_mm_day_64_mswep_static_1405_142451,29.0,64.0,365.0,0.599421352148056,0.68092,11.968902051921509
cudalstm_q_mm_day_64_180_mswep_static_1705_090029,20.0,64.0,180.0,0.5937086939811707,0.68837,13.751515321531935
cudalstm_q_mm_day_128_90_mswep_static_1605_124208,10.0,128.0,90.0,0.5895427763462067,0.67174,12.236464056598289
cudalstm_q_mm_day_32_270_mswep_static_1705_174210,22.0,32.0,270.0,0.5756810307502747,0.66849,13.883374358588066
cudalstm_q_mm_day_64_90_mswep_static_1705_110527,22.0,64.0,90.0,0.5738477408885956,0.67978,15.583315059490491
cudalstm_q_mm_day_32_90_mswep_static_1705_220829,25.0,32.0,90.0,0.5693957805633545,0.64556,11.79816274810173
cudalstm_q_mm_day_32_180_mswep_static_1705_185835,30.0,32.0,180.0,0.5644268691539764,0.66609,15.262671838043437
cudalstm_q_mm_day_32_mswep_static_1405_154800,21.0,32.0,365.0,0.5630053579807281,0.64708,12.992928543498769
cudalstm_q_mm_day_128_30_mswep_static_1605_000433,21.0,128.0,30.0,0.5506294667720795,0.65015,15.30731880764755
cudalstm_q_mm_day_64_30_mswep_static_1705_133044,26.0,64.0,30.0,0.5383620858192444,0.64443,16.459183182154085
cudalstm_q_mm_day_256_30_mswep_static_1505_194823,11.0,256.0,30.0,0.5361132621765137,0.65266,17.857190240475337
cudalstm_q_mm_day_16_mswep_static_1405_165842,28.0,16.0,365.0,0.5263402163982391,0.61522,14.446829362140512
cudalstm_q_mm_day_16_270_mswep_static_1805_012327,20.0,16.0,270.0,0.5226552784442902,0.59835,12.650576009979089
cudalstm_q_mm_day_32_30_mswep_static_1705_232606,29.0,32.0,30.0,0.4966630935668945,0.60643,18.100507302261686
cudalstm_q_mm_day_16_90_mswep_static_2005_093959,27.0,16.0,90.0,0.4965013861656189,0.5918,16.10317908658011
cudalstm_q_mm_day_16_180_mswep_static_1805_033840,29.0,16.0,180.0,0.4732490181922912,0.60541,21.82999649951418
cudalstm_q_mm_day_16_30_mswep_static_2005_103410,27.0,16.0,30.0,0.4375168085098266,0.54434,19.624350863462805
cudalstm_q_mm_day_256_10_mswep_static_1605_075013,19.0,256.0,10.0,0.4031797647476196,0.47099,14.39738322520233
cudalstm_q_mm_day_128_10_mswep_static_1605_135215,29.0,128.0,10.0,0.3965207934379577,0.47305,16.177826141431627
cudalstm_q_mm_day_64_10_mswep_static_1705_145123,24.0,64.0,10.0,0.3906706571578979,0.46609,16.181283194683882
cudalstm_q_mm_day_32_10_mswep_static_1805_003508,23.0,32.0,10.0,0.3731416463851928,0.4401,15.214349832948686
cudalstm_q_mm_day_16_10_mswep_static_2005_122135,26.0,16.0,10.0,0.2964736819267273,0.40418,26.648106802234818
